index,0
List of American feminist literature,American feminists
Jennifer Abod,American feminists
As'ad AbuKhalil,American feminists
Bella Abzug,American feminists
Maria T. Accardi,American feminists
Eleanor D. Acheson,American feminists
Kathy Acker,American feminists
Jessie Ackermann,American feminists
Abigail Adams,American feminists
Rachel Adler,American feminists
Etel Adnan,American feminists
Mahnaz Afkhami,American feminists
Rose Aguilar,American feminists
Leila Ahmed,American feminists
Joyce Aiken,American feminists
Yolo Akili,American feminists
Asa Akira,American feminists
Norma Alarcón,American feminists
Linda Martín Alcoff,American feminists
Leelah Alcorn,American feminists
Alan Alda,American feminists
Jann Aldredge-Clanton,American feminists
Dolores Alexander,American feminists
Chude Pam Allen,American feminists
Donna Allen (activist),American feminists
Hope Emily Allen,American feminists
M. Catherine Allen,American feminists
Paula Gunn Allen,American feminists
Gloria Allred,American feminists
Jane Alpert,American feminists
Wanda Alston,American feminists
Alta (poet),American feminists
Cecilia Alvarez,American feminists
Jana Amin,American feminists
Jewel Amoah,American feminists
Gillian Anderson,American feminists
Michelle Anderson,American feminists
Naomi Anderson,American feminists
Lupe Anguiano,American feminists
Aziz Ansari,American feminists
Charlotte Bolles Anthony,American feminists
Lucy Elmina Anthony,American feminists
Mary Stafford Anthony,American feminists
Susan B. Anthony,American feminists
Eleanor Antin,American feminists
Kathy Aoki,American feminists
Ashton Applewhite,American feminists
Judith Arcana,American feminists
Kimberly Arcand,American feminists
Clara Guthrie d'Arcis,American feminists
Kenia Arias,American feminists
Louise Armstrong,American feminists
Bea Arthur,American feminists
Jessie Ashley,American feminists
Dalya Attar,American feminists
Valerie Aurora,American feminists
Alice Constance Austin,American feminists
Kate Austin,American feminists
Emilie Autumn,American feminists
Tamara Awerbuch-Friedlander,American feminists
Helen Tufts Bailie,American feminists
Bill Baird (activist),American feminists
Abby Scott Baker,American feminists
Yolanda Bako,American feminists
Krystal Ball,American feminists
Ernesta Drinker Ballard,American feminists
Addie L. Ballou,American feminists
Toni Cade Bambara,American feminists
Sara Bareilles,American feminists
Judi Bari,American feminists
Sharon Barker,American feminists
Asma Barlas,American feminists
Ninfa Baronio,American feminists
Chris Bartlett (activist),American feminists
Amrita Basu,American feminists
Jennifer Baumgardner,American feminists
Rosalyn Baxandall,American feminists
Annette Kar Baxter,American feminists
Frances M. Beal,American feminists
Mary Ritter Beard,American feminists
Nikki Beare,American feminists
Hephzibah Dumville Bechly,American feminists
Samantha Bee,American feminists
Harry Belafonte,American feminists
Patricia Bell-Scott,American feminists
Draft:Angel Bellaran,American feminists
Kathryn Sophia Belle,American feminists
Alva Belmont,American feminists
Pat Benatar,American feminists
Medea Benjamin,American feminists
Anne McGrew Bennett,American feminists
Sadie Benning,American feminists
Barbara Bergmann,American feminists
Sandra Bernhard,American feminists
Lorraine Bethel,American feminists
Jamila Bey,American feminists
Mayim Bialik,American feminists
Grace C. Bibb,American feminists
Janet Biehl,American feminists
Belle G. Bigelow,American feminists
Sally Binford,American feminists
Brad Bird,American feminists
Caroline Bird (American author),American feminists
Mary Birdsall,American feminists
Phyllis Birkby,American feminists
Lucia Chiavola Birnbaum,American feminists
Becky Birtha,American feminists
Bitch (performer),American feminists
Ada Bittenbender,American feminists
Alice Stone Blackwell,American feminists
Elizabeth Blackwell,American feminists
Emily Blackwell,American feminists
Henry Browne Blackwell,American feminists
Emily Newell Blair,American feminists
Rowan Blanchard,American feminists
Lucretia Longshore Blankenburg,American feminists
Kat Blaque,American feminists
Lisa Bloom,American feminists
Marcy Bloom,American feminists
Amelia Bloomer,American feminists
Roxcy Bolton,American feminists
Diane Bond,American feminists
Elizabeth Powell Bond,American feminists
Mary Bookstaver,American feminists
Heather Booth,American feminists
Ivy Bottini,American feminists
Elise M. Boulding,American feminists
Annie Cooper Boyd,American feminists
Elizabeth M. Boyer,American feminists
Mary Eleanor Brackenridge,American feminists
Lynde Bradley Uihlein,American feminists
Lydia Moss Bradley,American feminists
Phyllis Bramson,American feminists
Eunice Dana Brannan,American feminists
Amy Brenneman,American feminists
Johanna Brenner,American feminists
Bessie Breuer,American feminists
Sharon Bridgforth,American feminists
Shifra Bronznick,American feminists
Florence Brooks Whitehouse,American feminists
Ida Joe Brooks,American feminists
Virginia Brooks,American feminists
Cary Brown,American feminists
Charles Brockden Brown,American feminists
Charlotte Blake Brown,American feminists
Rita Mae Brown,American feminists
Tiffany Lee Brown,American feminists
Wendy Brown (political theorist),American feminists
Susan Brownmiller,American feminists
Lela E. Buis,American feminists
Martha Burk,American feminists
Elinor Burkett,American feminists
Kathe Burkhart,American feminists
Celia M. Burleigh,American feminists
Nina Burleigh,American feminists
Patricia Hill Burnett,American feminists
Iris Burnham,American feminists
Linda Burnham,American feminists
Lucy Burns,American feminists
Abigail Bush,American feminists
Octavia E. Butler,American feminists
Elinor Byrns,American feminists
Mary Calderone,American feminists
Catherine Callaghan,American feminists
William R. Callahan (priest),American feminists
Casey Calvert,American feminists
Stephanie Camp,American feminists
Margaret W. Campbell,American feminists
Tina Campt,American feminists
Andrea R Canaan,American feminists
Aviva Cantor,American feminists
Kate Capshaw,American feminists
Toni Carabillo,American feminists
Hazel Carby,American feminists
Cardi B,American feminists
Rachel Cargle,American feminists
Irin Carmon,American feminists
Avedon Carol,American feminists
Liz Carpenter,American feminists
Charlene Carruthers,American feminists
Lynda Carter,American feminists
Nell Carter,American feminists
Rosalynn Carter,American feminists
Vednita Carter,American feminists
Ersilia Cavedagni,American feminists
Jacqueline Ceballos,American feminists
Isadora Cerullo,American feminists
Lorna Dee Cervantes,American feminists
Mariam Chamberlain,American feminists
Sabrina Chap,American feminists
Ruth Charney,American feminists
Mary Agnes Chase,American feminists
Jessica Chastain,American feminists
Judy Chicago,American feminists
Marilyn Chin,American feminists
Staceyann Chin,American feminists
Shirley Chisholm,American feminists
Elizabeth Chittick,American feminists
Chloe x Halle,American feminists
Tracy Chou,American feminists
Rey Chow,American feminists
Greta Christina,American feminists
Lucinda Cisler,American feminists
Tennessee Claflin,American feminists
Annie E. Clark,American feminists
Nancy Talbot Clark,American feminists
Cheryl Clarke,American feminists
Mary Barr Clay,American feminists
Mary Jane Warfield Clay,American feminists
Elizabeth L. Cless,American feminists
Voltairine de Cleyre,American feminists
Michelle Cliff,American feminists
Hillary Clinton,American feminists
Kate Clinton,American feminists
Ta-Nehisi Coates,American feminists
Kurt Cobain,American feminists
June Rose Colby,American feminists
Patricia Hill Collins,American feminists
Noreen Connell,American feminists
Eliza Archard Conner,American feminists
Cecilia Conrad,American feminists
ContraPoints,American feminists
Kellyanne Conway,American feminists
Ryan Coogler,American feminists
Nancy Cook,American feminists
Winnifred Harper Cooley,American feminists
Anna J. Cooper,American feminists
Drucilla Cornell,American feminists
Anita Cornwell,American feminists
Rose Laub Coser,American feminists
Midge Costanza,American feminists
Maria Cotera,American feminists
Martha P. Cotera,American feminists
Carol Rowell Council,American feminists
Ida Craft,American feminists
Nikki Craft,American feminists
Judith Craig,American feminists
May Craig (journalist),American feminists
Elizabeth W. Crandall,American feminists
Alice Crary,American feminists
Ernestina Cravello,American feminists
Kimberlé Williams Crenshaw,American feminists
Mary D. Crisp,American feminists
Jane Cunningham Croly,American feminists
Ida Crouch-Hazlett,American feminists
Julee Cruise,American feminists
Minnie Fisher Cunningham,American feminists
Cherie Currie,American feminists
Cathrine Curtis,American feminists
Elizabeth Cushier,American feminists
Hannah Tracy Cutler,American feminists
Jiko Linda Cutts,American feminists
Miley Cyrus,American feminists
Anne-Christine d'Adesky,American feminists
Hallie Morse Daggett,American feminists
Mabel Potter Daggett,American feminists
Beverly Dahlen,American feminists
Tyne Daly,American feminists
Sarah Daniels (actress),American feminists
Susan Muaddi Darraj,American feminists
Leonore Davidoff,American feminists
Angela Davis,American feminists
Geena Davis,American feminists
Cornelia De Bey,American feminists
Agnes de Lima,American feminists
Carole De Saram,American feminists
Dana DeArmond,American feminists
Julie Sondra Decker,American feminists
Karen DeCrow,American feminists
Miriam Allen deFord,American feminists
Lana Del Rey,American feminists
Julie Delpy,American feminists
Gina Dent,American feminists
Dorothy Detzer,American feminists
Rosalyn Deutsche,American feminists
Lisa M. Diamond,American feminists
Marley Dias,American feminists
Anna Elizabeth Dickinson,American feminists
Kyle DiFulvio,American feminists
Anne Murray Dike,American feminists
Matt Dillahunty,American feminists
Whitney Crothers Dilley,American feminists
Kate Dillon Levin,American feminists
Disband (band),American feminists
Beth Ditto,American feminists
Donna Robinson Divine,American feminists
Alix Dobkin,American feminists
Betty Dodson,American feminists
Rachel Dolezal,American feminists
Liza Donnelly,American feminists
Bailey Doogan,American feminists
Lizzie Dorman Fyler,American feminists
Margaret Downey,American feminists
Mary Elizabeth Downey,American feminists
Shannon Downey,American feminists
Gudrun Løchen Drewsen,American feminists
Shirley Graham Du Bois,American feminists
Anne Dallas Dudley,American feminists
Eliza Bisbee Duffey,American feminists
Ethel Sturges Dummer,American feminists
Raya Dunayevskaya,American feminists
Roxanne Dunbar-Ortiz,American feminists
Olivia Howard Dunbar,American feminists
Carol Duncan,American feminists
Ann Dunham,American feminists
Lena Dunham,American feminists
Joan Dunlop,American feminists
Gaby Dunn,American feminists
Kirsten Dunst,American feminists
Amelia Earhart,American feminists
Genevieve Earle,American feminists
Crystal Eastman,American feminists
Max Eastman,American feminists
Dossie Easton,American feminists
Mary Baker Eddy,American feminists
Judith Edelman,American feminists
Mary Beth Edelson,American feminists
Katherine Philips Edson,American feminists
Sara Ehrman,American feminists
Brenda Eichelberger,American feminists
Katherine Pollak Ellickson,American feminists
Claiborne Catlin Elliman,American feminists
Lindsay Ellis,American feminists
Mona Eltahawy,American feminists
Femi Emiola,American feminists
Marie Equi,American feminists
Susan Estrich,American feminists
Melissa Etheridge,American feminists
Linda Fairstein,American feminists
Melissa Farley,American feminists
Nellie Fassett,American feminists
Johanna Fateman,American feminists
Lauren Faust,American feminists
Tatyana Fazlalizadeh,American feminists
Silvia Federici,American feminists
Gloria Feldt,American feminists
Rita Felski,American feminists
Rebecca Latimer Felton,American feminists
Millicent Fenwick,American feminists
Kathy Ferguson,American feminists
Roberta Fernández,American feminists
Geraldine Ferraro,American feminists
Sky Ferreira,American feminists
Tina Fey,American feminists
Sara Bard Field,American feminists
Martha Albertson Fineman,American feminists
Bobby Finger,American feminists
Sarah D. Fish,American feminists
Welthy Honsinger Fisher,American feminists
Doris Fleischman,American feminists
Shary Flenniken,American feminists
Lella Secor Florence,American feminists
Sandra Fluke,American feminists
Yvette Flunder,American feminists
Abby Folsom,American feminists
Clara Shortridge Foltz,American feminists
Jane Fonda,American feminists
Karen A. Foss,American feminists
Stephen Symonds Foster,American feminists
Muriel Fox,American feminists
Yolande Fox,American feminists
Harriet Fraad,American feminists
Marge Frantz,American feminists
Clara Fraser,American feminists
Demita Frazier,American feminists
Marcia Freedman,American feminists
Jo Freeman,American feminists
Lucy Frey,American feminists
Ann Friedman,American feminists
Debbie Friedman,American feminists
Jena Friedman,American feminists
Vicki Gabriner,American feminists
Matilda Joslyn Gage,American feminists
Kim Gandy,American feminists
Inez García,American feminists
Helen H. Gardener,American feminists
Virginia Gardner,American feminists
Janeane Garofalo,American feminists
Ann Garry,American feminists
Olivia Gatwood,American feminists
Roxane Gay,American feminists
Anne Nicol Gaylor,American feminists
Annie Laurie Gaylor,American feminists
Mary Gergen,American feminists
Adrienne Germain,American feminists
Mariam Ghani,American feminists
Patricia Giggans,American feminists
Kirsten Gillibrand,American feminists
Marija Gimbutas,American feminists
Ruth Bader Ginsburg,American feminists
Mimi Reisel Gladstein,American feminists
Rachel Brooks Gleason,American feminists
Merle S. Goldberg,American feminists
Eunice Golden,American feminists
Judy Goldsmith,American feminists
Jewelle Gomez,American feminists
Jeanne Gomoll,American feminists
Laura Goode,American feminists
Anna Adams Gordon,American feminists
Kim Gordon,American feminists
Laura de Force Gordon,American feminists
Sara K. Gould,American feminists
Shelly Grabe,American feminists
Barbara Grad,American feminists
Richard Alton Graham,American feminists
Maria Freeman Gray,American feminists
Laci Green,American feminists
Blu Greenberg,American feminists
Amelia Greenhall,American feminists
Dick Gregory,American feminists
Miss Major Griffin-Gracy,American feminists
Susan Griffin,American feminists
Nanci Griffith,American feminists
Martha Griffiths,American feminists
Grimké sisters,American feminists
Angelina Grimké,American feminists
Sarah Moore Grimké,American feminists
Estelle Griswold,American feminists
Margaret Morganroth Gullette,American feminists
Judy Gumbo,American feminists
Beverly Guy-Sheftall,American feminists
Pamela Haag,American feminists
Jan Haaken,American feminists
Lisbeth Haas,American feminists
Sally Hacker,American feminists
Sarah Haider,American feminists
Anna Marcet Haldeman,American feminists
Pamela Case Hale,American feminists
Ruth Hale (feminist),American feminists
Sondra Hale,American feminists
Fannie Hopkins Hamilton,American feminists
Margherita Arlina Hamm,American feminists
Suheir Hammad,American feminists
Daniel Handler,American feminists
Eleanor Humes Haney,American feminists
Carol Hanisch,American feminists
Kathleen Hanna,American feminists
Sarah Harder,American feminists
Carole Harmel,American feminists
A. Breeze Harper,American feminists
Harrison and Tyler,American feminists
Nina Hartley,American feminists
Sarah Haskins (comedian),American feminists
Sally Haslanger,American feminists
Riffat Hassan,American feminists
Cornelia Templeton Hatcher,American feminists
Anne Hathaway,American feminists
Elizabeth Hawes,American feminists
Helen S. Hawkins,American feminists
Nancy Miriam Hawley,American feminists
Dorothy Ray Healey,American feminists
Patricia Heaton,American feminists
Elaine Ryan Hedges,American feminists
Virginia Held,American feminists
Diana Mara Henry,American feminists
Katharine Hepburn,American feminists
Katharine Martha Houghton Hepburn,American feminists
Aileen Hernandez,American feminists
Daisy Hernández,American feminists
Laura Hershey,American feminists
Abigail Heyman,American feminists
Carter Heyward,American feminists
Ezra Heywood,American feminists
Azizah Y. al-Hibri,American feminists
Ami Mali Hicks,American feminists
Anita Hill,American feminists
Katie Hill (politician),American feminists
Beatrice M. Hinkle,American feminists
Ida Hinman,American feminists
Shere Hite,American feminists
Amber L. Hollibaugh,American feminists
Jenny Holzer,American feminists
Alex Honnold,American feminists
Bell hooks,American feminists
Jessie Jack Hooper,American feminists
Margaret Hoover,American feminists
Koryne Kaneski Horbal,American feminists
Tamara Horowitz,American feminists
Fran Hosken,American feminists
Florence Howe,American feminists
Julia Ward Howe,American feminists
Mary Howell,American feminists
Nancy R. Howell,American feminists
Ethel Dench Puffer Howes,American feminists
Marie Howland,American feminists
Dolores Huerta,American feminists
Donna M. Hughes,American feminists
Dorothy Pitman Hughes,American feminists
Caroline Augusta Huling,American feminists
Akasha Gloria Hull,American feminists
