index,0
Astrid Hjertenæs Andersen,Escritoras de Noruega
Nini Roll Anker,Escritoras de Noruega
Anna Louise Beer,Escritoras de Noruega
Hanne Bramness,Escritoras de Noruega
Rut Brandt,Escritoras de Noruega
Camilla Collett,Escritoras de Noruega
Conradine Birgitte Dunker,Escritoras de Noruega
Rawdna Carita Eira,Escritoras de Noruega
Dorothe Engelbretsdotter,Escritoras de Noruega
Karen-Christine Friele,Escritoras de Noruega
Hulda Garborg,Escritoras de Noruega
Gerda Grepp,Escritoras de Noruega
Beate Grimsrud,Escritoras de Noruega
Karin Gundersen,Escritoras de Noruega
Magnhild Haalke,Escritoras de Noruega
Bergljot Hobæk Haff,Escritoras de Noruega
Gro Hagemann,Escritoras de Noruega
Inger Hagerup,Escritoras de Noruega
Marie Hamsun,Escritoras de Noruega
Torill Thorstad Hauger,Escritoras de Noruega
Vigdis Hjorth,Escritoras de Noruega
Tone Hødnebø,Escritoras de Noruega
Åsta Holth,Escritoras de Noruega
Dagny Juel,Escritoras de Noruega
Britt Karin Larsen,Escritoras de Noruega
Lise Lindbæk,Escritoras de Noruega
Merethe Lindstrøm,Escritoras de Noruega
Cecilie Løveid,Escritoras de Noruega
Eldrid Lunden,Escritoras de Noruega
Ragnhild Magerøy,Escritoras de Noruega
Maria Parr,Escritoras de Noruega
Trude Marstein,Escritoras de Noruega
Karin Moe,Escritoras de Noruega
Haddy N'jie,Escritoras de Noruega
Torborg Nedreaas,Escritoras de Noruega
Åse-Marie Nesse,Escritoras de Noruega
Ragna Nielsen,Escritoras de Noruega
Hanne Ørstavik,Escritoras de Noruega
Gunnhild Øyehaug,Escritoras de Noruega
Minda Ramm,Escritoras de Noruega
Thekla Resvoll,Escritoras de Noruega
Wera Sæther,Escritoras de Noruega
Kjersti Annesdatter Skomsvold,Escritoras de Noruega
Marie Takvam,Escritoras de Noruega
Astrid Tollefsen,Escritoras de Noruega
Marit Tusvik,Escritoras de Noruega
Sigrid Undset,Escritoras de Noruega
Aslaug Vaa,Escritoras de Noruega
Halldis Moren Vesaas,Escritoras de Noruega
Anne-Cath. Vestly,Escritoras de Noruega
Bjørg Vik,Escritoras de Noruega
Torild Wardenær,Escritoras de Noruega
Categoría:Dramaturgas de Noruega,Escritoras de Noruega
